Corresponding USGS gauge number,09072500,09095500,09109000,09124700,09127800,09152500,09180000,09180500,09211200,09217000,09234500,09251000,09260000,09302000,09306500,09315000,09328500,09355500,09379500,09380000,,09382000,09402000,09402500,09415000,09421500,09423000,09426000,09427520,09429490,,,,,,,,,,
USGS gauge name,"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ",,"Paria R At Lees Ferry, AZ","Little Colorado River Near Cameron, AZ","Colorado River Near Grand Canyon, AZ","Virgin River At Littlefield, AZ","Colorado River Below Hoover Dam, AZ-NV","Colorado River Below Davis Dam, AZ-NV","Bill Williams River Below Alamo Dam, AZ","Colorado River Below Parker Dam, AZ-CA","Colorado River Above Imperial Dam, AZ",,,,,,,,,,
,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,,,,,,,,,
Date,UpperColoradoReach.Inflow,ColoRAbv09095500:GainsAbvCameo.Local Inflow,TaylorRiver.Inflow,TaylorAboveBlueMesa:GainsAboveBlueMesa.Local Inflow,GunnisonRiverAboveCrystal:GainsAboveCrystal.Local Inflow,GunnisonRiverAboveGrandJunction:GainsGunnisonRiverAbvGrandJunction.Local Inflow,DoloresRiver.Inflow,GrandValleyReach:GainsAboveCisco.Local Inflow,GreenRAboveGage09211200.Inflow,Gage09211200ToGage09217000:GainsAbv09217000.Local Inflow,Gage09217000ToGage09234500:GainsAbv09234500.Local Inflow,YampaRAbv09251000.Inflow,LittleSnakeRAbv09260000.Inflow,DuchesneAbv09302000.Inflow,WhiteRiverAbv09306500.Inflow,GreenRAbvGage09315000:GainsAbvGreenRUtah.Local Inflow,SanRafaelRiver.Inflow,SJAboveNavajo.Inflow,SJBelowNavajo:GainsAboveBluff.Local Inflow,ColoradoRAbvPowell:GainsAboveLeesFerry.Local Inflow,,CoRivPowellToVirgin:PariaGains.LocalInflow,CoRivPowellToVirgin:LittleCoR.LocalInflow,CoRivPowellToVirgin:GainsAboveGC.LocalInflow,VirginRiver.Inflow,CoRivVirginToMead:GainsAboveHoover.LocalInflow,CoRivMeadToMohave:GainsAboveDavis.LocalInflow,CoRivMohaveToHavasu:BillWilliamsRiver.LocalInflow,CoRivMohaveToHavasu:GainsAboveParker.LocalInflow,AboveImperialDamColoradoR:GainsOnColoRAboveImperialDam.LocalInflow,,,,,,,,,,
8/12,"131,248","59,156","4,551","33,808","8,671","69,506","58,629","-23,240","54,794","6,377","11,726","47,026","15,402","40,053","20,627",322,"11,779","27,707","28,101","42,525",,"5,242","27,418","35,948","13,249","62,261","-18,039","1,397","24,351","-10,608",,,,,,,,,,
9/12,"61,143","45,579","4,348","20,296","9,114","43,759","32,827","-18,155","30,697","7,486","4,982","23,430","8,711","21,326","15,008","2,631","7,461","16,771","16,113","31,127",,"1,514","13,177","33,309","10,627","39,347","-6,656","1,428","29,907","-36,411",,,,,,,,,,
10/12,"58,982","36,124","4,150","17,208","5,574","45,349","15,814","-6,060","23,785","7,837","-1,420","14,118","4,792","25,798","20,483","10,026","6,887","17,426","23,082","19,626",,846,6,"28,662","10,641","28,689","-3,334",754,"32,934","-2,453",,,,,,,,,,
11/12,"50,834","31,852","2,967","15,833","3,975","37,466","8,249","18,704","31,161","6,403","5,413","14,594","5,782","25,686","20,528","10,153","4,094","10,641","18,278","7,214",,"1,025",0,"27,556","13,023","17,633","-9,109",653,"26,021","4,169",,,,,,,,,,
12/12,"44,667","25,751","3,069","14,797","3,798","24,797","7,129","22,494","27,351","-3,568","7,439","12,162","5,416","17,648","17,480","-6,077","3,320","12,146","17,629","-4,043",,"1,223",2,"21,485","12,526","18,437","-2,981",628,"19,103","8,436",,,,,,,,,,
1/13,"51,457","21,986","3,013","12,876","3,815","23,389","6,316","12,504","20,815","4,649","1,439","12,039","5,287","18,357","14,445","-19,575","3,884","15,155","13,424","18,333",,"1,869","4,768","31,246","10,733","2,367","-12,044",658,"16,547","6,274",,,,,,,,,,
2/13,"42,149","23,082","2,672","13,216","4,199","20,532","7,765","7,844","21,218","4,011","9,870","12,742","4,695","18,487","17,228",445,"2,987","12,941","13,057","65,464",,"1,171","7,289","30,416","9,259","20,747","-13,770",594,"3,000","-32,386",,,,,,,,,,
3/13,"-19,607","26,201","3,398","19,949","6,707","24,956","12,581","7,051","36,508","11,627","21,298","18,621","8,718","22,833","24,147","36,722","4,492","31,751","13,555","59,014",,"1,301","25,998","31,471","8,202","3,993","-13,574","1,775","5,824","-53,910",,,,,,,,,,
4/13,"85,893","29,300","6,127","37,254","15,991","19,514","39,006","-20,508","47,214","3,769","30,137","75,141","16,521","32,517","22,258","-4,093","5,552","73,984","11,816","29,783",,684,"5,674","20,141","4,939","4,568","-24,144","2,660","11,644","-37,557",,,,,,,,,,
5/13,"473,527","161,093","20,963","117,009","43,097","93,608","100,548","-15,812","120,415","2,569","71,208","315,459","85,317","92,367","72,942","-31,834","22,038","163,138","71,841","-34,613",,506,153,"26,594","4,748","-4,010","-23,364","1,709","18,829","-15,488",,,,,,,,,,
6/13,"516,055","257,276","26,310","112,552","25,708","94,085","71,832","-16,428","135,343","6,549","45,726","204,032","44,189","85,663","60,168","101,875","26,978","69,866","47,947","48,111",,380,0,"24,810","4,123","-31,698","-27,649","2,558","12,667","-50,140",,,,,,,,,,
7/13,"169,489","86,204","9,111","46,684","11,906","60,833","46,300","-20,404","104,373","6,866","29,755","52,358","12,941","69,510","31,198","47,012","23,264","23,874","57,958","38,427",,"1,688","28,337","31,660","10,467","11,505","-37,216","1,525","26,529","-22,292",,,,,,,,,,
8/13,"93,548","52,612","6,803","48,750","11,964","50,287","51,871","-9,356","51,504","2,967","21,640","37,954","8,374","35,510","22,081","12,609","18,078","64,447","85,458","87,374",,"2,897","20,395","43,550","13,123","24,445","-23,890","1,525","35,422","-7,979",,,,,,,,,,
9/13,"117,753","63,223","8,083","51,170","12,893","54,633","63,627","12,021","54,613","3,202","25,415","24,017","7,802","40,566","21,185","18,119","23,607","149,073","178,209","206,147",,"11,210","27,691","39,803","17,268","50,835","-13,139","1,476","21,660","-34,036",,,,,,,,,,
10/13,"93,551","69,217","7,137","42,085","10,931","53,444","28,554","10,789","52,673","2,358","21,142","37,119","9,211","25,857","27,561","4,369","7,414","68,692","40,435","35,691",,"1,150",1,"17,930","6,840","21,206","-12,938","1,115","17,567","1,364",,,,,,,,,,
11/13,"66,013","50,217","4,799","28,196","6,252","46,554","17,536","27,726","38,100","1,260","6,182","29,002","7,591","27,308","23,202","3,985","4,937","34,070","38,328","77,681",,"2,038","14,106","11,663","9,584","68,849","6,433",674,"23,950","11,819",,,,,,,,,,
12/13,"48,591","44,431","4,576","20,449","5,800","34,013","10,554","-4,539","30,563","3,259","5,145","22,797","4,962","30,138","16,051","-20,868","4,058","26,456","24,366","46,944",,"1,557",230,"23,581","12,303","12,709","-6,650",673,"6,371",5,,,,,,,,,,
1/14,"53,719","44,524","4,663","17,707","5,900","30,247","9,421","-2,634","31,784","1,177","7,776","20,125","5,911","18,033","13,475","-14,964","4,651","19,557","16,272","53,800",,"1,281",0,"21,727","8,938","-2,139","-7,889",658,"11,909","-8,689",,,,,,,,,,
2/14,"54,779","50,227","4,424","18,336","6,398","29,045","12,955","-8,156","29,682","3,788","17,880","18,473","5,793","21,043","21,976","7,977","4,613","23,061","17,593","49,708",,"1,216",0,"31,233","7,868","27,685","-23,708","1,240","18,250","-24,196",,,,,,,,,,
3/14,"66,979","53,873","4,509","28,000","6,921","39,882","19,656","-11,591","54,489","5,541","31,870","45,604","14,056","26,840","26,499","9,416","4,869","51,209","26,691","56,992",,"1,452","3,700","26,365","7,773","-20,819","-14,951","1,541","-4,679","-89,747",,,,,,,,,,
4/14,"235,216","92,392","11,743","117,718","27,842","113,488","97,368","-56,546","103,431",-810,"41,995","211,248","54,602","39,543","43,994","-71,852","7,998","125,297","39,505","12,298",,518,0,"22,470","6,367","-24,795","-25,380","1,523","22,457",248,,,,,,,,,,
5/14,"710,396","217,642","30,656","215,341","61,373","148,834","138,670","-76,494","283,983","-4,134","99,574","446,807","153,484","81,376","104,794","-91,760","34,694","187,685","89,511","15,052",,274,0,"26,979","5,265","-23,562","-25,143","1,538","-4,460","-14,735",,,,,,,,,,
6/14,"909,948","439,344","48,913","319,490","78,237","164,148","130,441","-36,697","469,582","2,658","71,857","396,338","116,155","81,064","125,246","29,619","30,957","145,689","145,039","147,735",,201,0,"25,881","4,059","-28,034","-30,771","1,486","9,406","-68,992",,,,,,,,,,
7/14,"318,522","187,135","18,699","107,643","21,377","70,461","68,227","-23,051","277,904","3,113","37,420","99,384","24,630","63,602","56,845","48,742","11,834","39,832","55,683","42,455",,285,"3,198","25,674","4,527","-7,895","-22,889","1,537","17,706","-6,430",,,,,,,,,,
8/14,"142,578","95,082","11,601","58,238","8,144","42,169","47,672",39,"112,919","11,309","49,810","47,045","20,728","29,731","40,219","24,858","9,336","36,565","49,168","75,454",,"3,060","6,323","31,674","9,494","32,541","-13,515","1,537","24,531",-299,,,,,,,,,,
9/14,"105,574","80,102","9,868","41,218","7,065","38,431","50,571","6,479","71,577","7,689","42,215","34,602","16,873","45,637","33,051","40,501","9,075","48,887","42,780","59,288",,"9,134","5,385","24,356","24,796","59,273","-7,823","1,485","11,770","-13,707",,,,,,,,,,
10/14,"110,970","82,549","9,602","46,123","9,781","59,656","34,250","17,268","86,807","2,251","34,039","38,789","14,221","55,072","36,428","44,511","7,204","83,657","70,711","33,449",,847,"10,418","31,181","7,894","13,511","9,330",869,"15,189","-12,509",,,,,,,,,,
11/14,"80,447","57,460","6,597","30,105","6,276","50,267","13,644","17,679","53,375",138,"13,227","33,541","9,440","21,304","28,624","13,619","4,095","27,181","29,346","-11,530",,775,0,"23,918","9,172","11,755","-3,333",567,"8,566","5,878",,,,,,,,,,
12/14,"60,053","59,173","5,831","27,825","6,188","38,636","10,618","15,718","48,501","5,698","5,341","27,344","6,846","23,240","26,090","13,761","3,769","18,361","31,246","12,644",,889,"4,938","25,829","8,767","1,367","1,631",587,"17,904","34,331",,,,,,,,,,
1/15,"61,340","43,607","5,605","24,121","6,118","34,640","11,291","13,284","44,312","5,226","27,071","25,136","6,858","24,037","22,233","18,613","5,050","22,269","27,228","4,143",,"1,028","3,053","26,662","8,539","13,455","-22,646","1,299","16,060",284,,,,,,,,,,
2/15,"123,605","36,024","4,491","23,645","5,924","29,549","12,278","15,840","49,205",695,"25,891","28,203","10,038","21,305","25,243","13,563","4,776","28,010","34,574","40,557",,"1,170","11,924","26,356","6,184","34,589","-9,771","1,333","7,723","-28,969",,,,,,,,,,
3/15,"92,494","44,961","6,615","47,200","9,280","53,445","31,383","12,522","69,269","2,036","24,895","68,350","15,249","38,403","29,950","-5,874","5,636","89,233","58,530","15,377",,"2,838","14,357","23,982","9,600","-4,532","-24,381","1,476","1,320","-68,560",,,,,,,,,,
4/15,"148,161","61,489","9,276","64,190","14,283","35,021","42,236","-10,215","91,448","-6,148","46,337","128,999","32,332","25,637","41,184","7,801","5,275","81,293","30,910",439,,610,1,"24,738","5,852","-17,332","-22,591","1,484","11,182","-5,167",,,,,,,,,,
5/15,"355,777","152,381","18,657","119,403","33,437","123,974","127,451","-16,882","231,273","13,870","127,345","322,095","111,872","44,137","89,242","-51,765","18,982","178,986","74,967","1,726",,"1,157",52,"27,750","5,922","-18,136","-18,313","1,537","19,092","-15,102",,,,,,,,,,
6/15,"792,236","471,728","62,356","314,410","77,886","200,252","211,172","-32,859","365,739","15,536","128,522","309,837","93,579","150,315","122,983","89,457","34,653","317,339","301,443","146,917",,"3,034",212,"22,340","4,313","-12,484","-30,150","1,412","17,942","-44,087",,,,,,,,,,
7/15,"284,965","176,494","21,494","117,663","18,137","76,027","93,104","24,774","160,744","26,176","58,835","85,154","21,965","58,246","50,604","66,389","13,404","99,737","114,919","83,827",,841,"12,606","20,073","6,790",-941,"-26,678","1,458","16,206","-22,163",,,,,,,,,,
8/15,"109,965","61,395","8,943","56,556","3,587","35,466","51,001","8,749","70,042","5,836","32,660","36,883","7,960","4,172","22,453","20,444","8,041","40,411","77,685","22,659",,"4,249","16,697","23,484","6,500","36,476","-23,836","1,384","14,178","-22,708",,,,,,,,,,
9/15,"72,364","55,603","7,022","36,540","2,540","44,725","37,845","5,277","50,135","-1,951","16,728","28,584","8,063","28,181","26,420","2,229","7,544","28,637","18,488","14,972",,"3,509","6,761","22,457","9,742","16,905","-17,949","1,466","17,610","-10,622",,,,,,,,,,
10/15,"67,587","52,811","7,094","27,815","5,507","42,416","20,782","-1,610","48,317",386,"15,659","21,542","8,824","25,772","26,463","11,145","11,210","49,960","55,359","124,940",,"5,280","13,675","37,058","11,496","52,254","-7,635",924,"33,214","-6,900",,,,,,,,,,
11/15,"58,679","45,688","5,154","25,134","5,066","50,960","15,645","25,962","38,353","2,154","5,235","21,016","7,589","16,978","25,770","19,781","4,306","35,555","33,052","5,117",,"1,119","2,333","18,842","8,676","8,443","-11,236",590,"10,399","19,707",,,,,,,,,,
12/15,"52,242","35,064","5,076","22,277","6,619","36,174","12,398","6,294","36,269","-6,673","17,674","17,194","5,200","19,623","21,080",-30,"2,833","22,084","25,623","7,873",,980,273,"21,160","9,695","6,162","-9,397",592,"21,024","23,235",,,,,,,,,,
1/16,"64,360","35,470","5,620","21,317","7,537","28,542","14,547","1,162","33,158","-1,512","19,276","16,744","4,883","18,747","19,328","17,658","3,193","21,472","29,168","24,510",,"1,034","1,667","33,795","9,907","31,331","-32,672",583,"25,648","-29,901",,,,,,,,,,
2/16,"51,967","35,520","4,185","21,662","7,451","32,582","16,878","16,628","35,120","-2,120","36,937","16,340","5,987","23,079","29,464","41,512","3,644","39,718","36,931","6,430",,"1,908","13,331","26,136","9,215","22,781","-22,627","1,254","8,169","-45,870",,,,,,,,,,
3/16,"62,086","41,782","4,835","36,345","10,019","53,281","44,558","16,217","50,556","6,336","34,686","37,484","14,371","37,165","32,088","39,202","5,006","81,180","39,747","42,623",,"1,096","4,342","31,177","9,552","-32,386","-18,516","1,426","16,276","-25,046",,,,,,,,,,
4/16,"128,396","65,953","9,099","66,309","21,846","87,929","101,979","7,528","93,423","3,816","61,956","197,932","61,735","42,010","40,242","-40,485","5,726","116,835","44,682","-13,936",,"1,093",139,"30,702","15,699","1,789","-21,645","1,586","16,252","-18,751",,,,,,,,,,
5/16,"444,740","203,439","17,198","147,278","48,190","214,470","192,901","2,696","200,219","12,735","192,877","467,594","209,681","93,545","102,994","-17,787","18,948","225,168","103,124","39,959",,606,130,"31,395","10,803","-1,717","-13,939","1,612","11,438","-32,478",,,,,,,,,,
6/16,"752,384","454,906","40,620","258,337","68,057","216,935","179,365","-17,717","347,873","10,636","231,100","392,226","143,269","213,238","113,753","-15,412","27,356","249,673","170,053","40,259",,194,0,"28,367","5,236","-23,993","-27,212","1,504","16,785","-27,964",,,,,,,,,,
7/16,"232,901","147,903","11,193","81,552","15,115","109,978","83,483","20,279","126,302","9,475","58,809","80,792","28,225","75,360","48,695","119,601","10,864","44,119","45,029","48,008",,237,321,"25,623","5,625","12,745","-37,337","1,609","18,509","-24,280",,,,,,,,,,
8/16,"115,399","63,259","8,549","54,150","3,189","80,660","64,269","-12,247","56,049",829,"38,427","34,857","13,298","5,717","27,301","21,478","8,890","35,308","69,691","-22,467",,"2,803","12,619","26,428","12,387","25,632","-19,137","1,685","20,811","-24,580",,,,,,,,,,
9/16,"70,530","55,656","6,224","38,212","2,715","68,676","35,601","-9,328","35,613","6,961","21,882","20,274","7,335","32,866","24,788","44,317","11,846","23,917","17,227","11,245",,"4,549","1,068","25,127","9,057","33,125","-20,018","1,607","11,816","-18,325",,,,,,,,,,
10/16,"65,074","57,480","5,455","28,787","5,478","68,250","16,582","-5,405","53,756","3,822","28,042","22,784","7,640","39,501","28,186","44,513","9,053","46,789","39,346","4,718",,"1,379","2,680","25,177","7,966","42,587","-6,936",990,"34,634","-24,316",,,,,,,,,,
11/16,"57,705","42,664","4,247","21,571","5,192","58,204","11,245","11,694","60,828","5,726","17,022","19,264","6,914","27,172","23,900","25,464","4,587","23,084","31,701","-10,527",,"1,259","4,186","22,442","8,743","40,826","-26,772",659,"20,043","6,077",,,,,,,,,,
12/16,"61,435","39,381","4,903","21,229","5,319","44,127","11,965","8,080","35,800","-3,511","15,820","16,720","6,386","27,269","20,607","-7,361","3,235","24,990","25,597","14,022",,"1,260","11,030","24,086","13,664","1,029","-13,988",538,"25,473","39,330",,,,,,,,,,
1/17,"58,571","36,202","5,512","23,094","6,041","38,381","14,669","14,242","43,966","-12,945","31,649","18,944","6,374","40,699","20,493","-9,331","4,274","33,469","39,310","30,962",,"2,958","16,748","25,319","16,979","41,900","-24,156",614,"32,590","-14,836",,,,,,,,,,
2/17,"59,859","34,857","4,230","24,462","6,128","37,664","18,474","11,344","51,767","-11,291","75,090","19,543","6,530","56,730","23,982","90,495","5,910","53,556","39,618",783,,"3,526","35,158","23,994","23,228","51,226","-15,455","1,832","12,602","-4,825",,,,,,,,,,
3/17,"93,372","52,873","5,721","64,076","13,875","87,280","100,779",-28,"192,382","1,835","212,031","82,898","37,497","85,611","28,593","-11,697","7,975","179,016","74,921","-8,668",,"1,190","36,113","26,584","22,548","-1,182","-29,967","2,053","8,714","-44,072",,,,,,,,,,
4/17,"181,284","72,239","13,024","131,973","27,243","142,177","150,550","-37,067","240,370","2,156","139,192","173,316","67,456","116,798","40,634","10,839","13,876","236,558","93,089","59,565",,"1,124","2,203","36,917","32,299","9,912","-27,297","2,269","10,424","-31,554",,,,,,,,,,
5/17,"399,084","160,038","29,687","219,442","49,702","197,188","201,656","-73,947","450,138","-13,772","237,272","301,973","110,616","256,153","65,365","50,503","58,928","276,489","82,457","69,750",,399,16,"29,159","13,952","-8,817","-20,987","2,531","19,510","-22,517",,,,,,,,,,
6/17,"703,013","414,118","62,545","342,075","62,912","247,125","186,250","-45,000","792,203","13,697","197,870","320,459","103,134","281,954","94,940","17,559","63,719","258,663","189,090","129,059",,237,0,"24,160","5,694","-24,570","-17,718","2,397","-2,223","-61,982",,,,,,,,,,
7/17,"271,881","156,268","24,224","122,138","20,369","122,800","91,860","-14,371","414,838","26,672","69,187","79,748","21,569","112,631","42,699","98,618","20,373","57,570","67,108","56,315",,"1,096","11,130","19,905","8,047","10,469","-18,234","2,769","15,290","-42,301",,,,,,,,,,
8/17,"127,929","77,874","12,168","80,899","7,449","108,076","55,234","-21,065","150,237","6,355","50,179","41,126","11,002","41,510","27,367","42,217","10,933","51,655","47,846","8,989",,"1,372","10,846","28,046","7,333","4,928","-15,584","2,639","9,174","-38,098",,,,,,,,,,
9/17,"83,279","45,418","7,732","33,361","2,948","61,143","31,403","-30,877","75,224","3,871","27,345","20,845","6,548","37,086","19,101","-3,903","6,884","12,881","-7,401","-24,402",,"1,384",158,"22,577","6,449","29,704","-12,576","2,659","13,405","-9,047",,,,,,,,,,
10/17,"87,868","55,744","8,233","29,513","5,343","58,077","14,129","-2,401","78,133","3,748","21,102","27,742","8,980","25,287","28,173","22,237","7,446","55,332","50,569","-28,775",,551,435,"24,898","6,216","29,285","-2,210","2,819","6,124","-27,153",,,,,,,,,,
11/17,"65,221","44,755","5,936","26,449","6,384","49,444","8,851","9,509","65,615","4,860","20,954","24,155","7,876","27,979","23,106","5,825","4,744","19,359","26,356","-22,074",,948,0,"23,924","7,254","23,129","-15,736","1,457","10,677","17,137",,,,,,,,,,
12/17,"50,089","31,355","4,111","20,591","5,697","33,955","5,645","5,337","45,117","1,548","14,015","20,133","5,576","30,921","17,053","18,396","2,810","10,674","17,693","-29,813",,959,0,"25,024","7,535","17,238","-12,454","1,748","15,315","6,583",,,,,,,,,,
1/18,"52,405","26,765","4,231","16,305","3,921","32,962","6,918","16,110","40,355","5,976","17,201","21,033","6,154","25,228","15,153","17,329","4,280","11,645","18,075","-33,158",,"1,025",1,"22,775","8,658","40,873",987,"1,585","1,385","-11,481",,,,,,,,,,
2/18,"47,571","27,311","3,781","19,066","2,616","27,509","8,800","11,662","35,559","8,270","23,092","20,008","5,174","22,496","16,893","28,647","4,574","11,606","16,720","-7,660",,768,0,"21,446","7,406","7,482","-5,874","1,268","1,312","-16,408",,,,,,,,,,
3/18,"59,930","33,805","4,617","23,431","3,310","28,869","11,210","7,437","51,729","15,697","29,243","38,736","13,480","27,487","23,560","30,718","4,433","25,589","8,338","11,248",,940,5,"25,634","12,029","-8,024","-3,918","28,580","-31,233","-44,702",,,,,,,,,,
4/18,"116,381","50,923","8,496","40,444","12,457","7,741","25,943","-20,725","92,964","13,283","44,852","137,666","34,886","47,193","29,483","-33,678","7,392","84,866","2,154","10,653",,670,0,"23,528","5,834","-22,464","-6,866","1,436","-9,463","-56,725",,,,,,,,,,
5/18,"455,587","197,784","24,221","96,917","26,215","60,705","55,981","1,722","365,444","12,396","106,300","340,850","94,338","104,271","70,327","-37,226","17,845","102,407","16,714","-27,619",,361,0,"25,919","4,858","-33,948","-18,603","1,533","8,959","-26,480",,,,,,,,,,
6/18,"317,420","162,405","13,271","54,514","11,600","72,999","43,060","-2,554","458,177","15,382","53,214","138,307","27,306","79,878","41,938","90,766","14,289","27,795","4,595","41,254",,182,0,"26,396","3,569","-22,333","-32,379","1,423","4,707","-67,346",,,,,,,,,,
7/18,"118,331","70,585","5,012","30,979","7,814","95,047","44,718","-4,595","197,779","25,210","34,319","48,804","15,170","94,329","29,278","26,638","12,761","20,462","10,690","3,991",,"2,741","17,373","29,473","7,658","19,065","-18,848","1,383","18,995","-41,691",,,,,,,,,,
8/18,"79,302","42,973","3,335","25,882","6,128","68,245","35,870","-6,780","72,053","12,430","25,038","31,545","8,430","42,652","18,476","7,876","9,394","18,040","7,280","6,111",,"4,108","6,398","28,369","10,333","1,518","-20,414","1,490","19,998","-34,105",,,,,,,,,,
9/18,"63,040","36,271","2,981","15,312","8,908","45,037","16,639","-7,189","44,428","2,114","6,105","24,301","7,615","43,828","18,424","-3,050","8,595","19,336","16,855","10,004",,377,"16,976","27,275","5,337","12,827","-12,664","1,290","7,721","-18,586",,,,,,,,,,
10/18,"62,071","41,305","4,676","19,047","6,657","35,551","14,234","6,114","44,483","-2,429","21,871","15,021","5,166","20,277","23,195","19,723","13,203","24,997","21,417","98,507",,"3,515","38,615","21,082","10,328","12,336","-11,554",990,"21,580","-1,424",,,,,,,,,,
11/18,"52,546","31,080","3,333","18,219","3,581","40,692","6,606","10,429","39,233",-713,"10,781","15,377","2,752","15,871","18,368","7,893","4,041","14,876","21,166","3,673",,956,917,"21,373","7,345","34,603","-25,995",631,"15,440","3,525",,,,,,,,,,
12/18,"49,732","24,783","3,574","16,068","4,203","30,996","5,557","10,820","30,959","6,167",937,"14,560","2,966","14,419","16,580","4,080","3,691","12,331","14,823","18,021",,"1,179",0,"22,364","8,168","17,828","-10,832",635,"25,906","15,776",,,,,,,,,,
